日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/08/01,34892012,33123456789,950.00,960.00,945.00,958.00,+18.00,42100
113/08/02,41203991,38543210987,940.00,948.00,930.00,935.00,-23.00,51200
113/08/05,58921002,52109876543,890.00,910.00,880.00,895.00,-40.00,68900
113/08/06,45120888,41987654321,900.00,925.00,898.00,920.00,+25.00,53400
113/08/07,38901234,36789012345,925.00,935.00,918.00,930.00,+10.00,46700
113/08/08,35678901,33456789012,935.00,942.00,930.00,938.00,+8.00,41200
113/08/09,39876543,37890123456,945.00,955.00,940.00,950.00,+12.00,48900
113/08/12,32109876,30678901234,955.00,962.00,950.00,958.00,+8.00,39800
113/08/13,34567890,33210987654,952.00,960.00,948.00,955.00,-3.00,42100
113/08/14,37890123,36543210987,958.00,970.00,955.00,968.00,+13.00,45600
113/08/15,40123456,39123456789,970.00,980.00,965.00,975.00,+7.00,49000
113/08/16,36543210,35678901234,978.00,985.00,970.00,982.00,+7.00,43200
113/08/19,33456789,32890123456,985.00,992.00,980.00,990.00,+8.00,40100
113/08/20,38765432,38234567890,992.00,1005.00,988.00,1000.00,+10.00,47800
113/08/21,42109876,42345678901,1005.00,1015.00,1000.00,1010.00,+10.00,51200
113/08/22,39876543,40123456789,1012.00,1020.00,1005.00,1015.00,+5.00,48300
113/08/23,37654321,38234567890,1018.00,1025.00,1012.00,1020.00,+5.00,44900
113/08/26,35432109,36123456789,1022.00,1030.00,1018.00,1025.00,+5.00,42100
113/08/27,38901234,39901234567,1030.00,1040.00,1025.00,1035.00,+10.00,46800
113/08/28,41234567,42890123456,1040.00,1050.00,1032.00,1045.00,+10.00,50300
113/08/29,43567890,45678901234,1048.00,1060.00,1042.00,1055.00,+10.00,53400
113/08/30,48901234,51890123456,1060.00,1075.00,1055.00,1070.00,+15.00,58900
